# d (m), DeltaF/(kB T)
1.700000000000000002e-08,1.164513703176605830e+01
1.743434343434343665e-08,1.085212475228291140e+01
1.786868686868686997e-08,1.012632049685874414e+01
1.830303030303030660e-08,9.460870473055617680e+00
1.873737373737373661e-08,8.849739780711086468e+00
1.917171717171717324e-08,8.287600235995629561e+00
1.960606060606060656e-08,7.769735502473432476e+00
2.004040404040404319e-08,7.291960565594166610e+00
2.047474747474747651e-08,6.850553143484428453e+00
2.090909090909090983e-08,6.442195069886759384e+00
2.134343434343434315e-08,6.063922039620813109e+00
2.177777777777777978e-08,5.713080391952062520e+00
2.221212121212121310e-08,5.387289837438012263e+00
2.264646464646464973e-08,5.084411220617130134e+00
2.308080808080808305e-08,4.802518563018693953e+00
2.351515151515151637e-08,4.539874755339953438e+00
2.394949494949494969e-08,4.294910369859316290e+00
2.438383838383838631e-08,4.066205148275288117e+00
2.481818181818182294e-08,3.852471789804457813e+00
2.525252525252525295e-08,3.652541722127426560e+00
2.568686868686868627e-08,3.465352585853624934e+00
2.612121212121212290e-08,3.289937203373167307e+00
2.655555555555555953e-08,3.125413836586508953e+00
2.698989898989899285e-08,2.970977566303822037e+00
2.742424242424242617e-08,2.825892649905953125e+00
2.785858585858586280e-08,2.689485734015752971e+00
2.829292929292929612e-08,2.561139815976504863e+00
2.872727272727272944e-08,2.440288862410115112e+00
2.916161616161616607e-08,2.326413005503542131e+00
2.959595959595959939e-08,2.219034248142352617e+00
3.003030303030303271e-08,2.117712618089373500e+00
3.046464646464646272e-08,2.022042719086043938e+00
3.089898989898989935e-08,1.931650633403917183e+00
3.133333333333333597e-08,1.846191136112473430e+00
3.176767676767677260e-08,1.765345186251102483e+00
3.220202020202020261e-08,1.688817664356107695e+00
3.263636363636363924e-08,1.616335329510470542e+00
3.307070707070707587e-08,1.547644972276969844e+00
3.350505050505050588e-08,1.482511742696808854e+00
3.393939393939394251e-08,1.420717634918297279e+00
3.437373737373737252e-08,1.362060112215903507e+00
3.480808080808080915e-08,1.306350857949734268e+00
3.524242424242424578e-08,1.253414639677746356e+00
3.567676767676768241e-08,1.203088275061437118e+00
3.611111111111111904e-08,1.155219689452220422e+00
3.654545454545454905e-08,1.109667056124246542e+00
3.697979797979797906e-08,1.066298011151952885e+00
3.741414141414141569e-08,1.024988935721557803e+00
3.784848484848485231e-08,9.856242994685202596e-01
3.828282828282828894e-08,9.480960590973149804e-01
3.871717171717172557e-08,9.123031070978301349e-01
3.915151515151515558e-08,8.781507659750008576e-01
3.958585858585859221e-08,8.455503237929065108e-01
4.002020202020202222e-08,8.144186073086903122e-01
4.045454545454545885e-08,7.846775893332673668e-01
4.088888888888888886e-08,7.562540272572819688e-01
4.132323232323232549e-08,7.290791300312108314e-01
4.175757575757576212e-08,7.030882510932431328e-01
4.219191919191919875e-08,6.782206050178617440e-01
4.262626262626263538e-08,6.544190058575700686e-01
4.306060606060606539e-08,6.316296253322611909e-01
4.349494949494949540e-08,6.098017692056453276e-01
4.392929292929293203e-08,5.888876703281400449e-01
4.436363636363636204e-08,5.688422969812250152e-01
4.479797979797980528e-08,5.496231752535950532e-01
4.523232323232324191e-08,5.311902243355546283e-01
4.566666666666667192e-08,5.135056036679852554e-01
4.610101010101010855e-08,4.965335710206421060e-01
4.653535353535353856e-08,4.802403506245919718e-01
4.696969696969696857e-08,4.645940105720390845e-01
4.740404040404040520e-08,4.495643487670024085e-01
4.783838383838384183e-08,4.351227867618119860e-01
4.827272727272727846e-08,4.212422708835117380e-01
4.870707070707071509e-08,4.078971800854194196e-01
4.914141414141415172e-08,3.950632400296760771e-01
4.957575757575758173e-08,3.827174429267475864e-01
5.001010101010101174e-08,3.708379727093764067e-01
5.044444444444444837e-08,3.594041351478560187e-01
5.087878787878788500e-08,3.483962925406553501e-01
5.131313131313131501e-08,3.377958026615288101e-01
5.174747474747475164e-08,3.275849616392979002e-01
5.218181818181818826e-08,3.177469505088124091e-01
5.261616161616162489e-08,3.082657851545858585e-01
5.305050505050505490e-08,2.991262694236222486e-01
5.348484848484848491e-08,2.903139511766521519e-01
5.391919191919192816e-08,2.818150810766588132e-01
5.435353535353535817e-08,2.736165739298491717e-01
5.478787878787879480e-08,2.657059723969157350e-01
5.522222222222222481e-08,2.580714129226236997e-01
5.565656565656566144e-08,2.507015937269652661e-01
5.609090909090909807e-08,2.435857447233658601e-01
5.652525252525252808e-08,2.367135992347950413e-01
5.695959595959596471e-08,2.300753673929040455e-01
5.739393939393940134e-08,2.236617110980662904e-01
5.782828282828283135e-08,2.174637204577961336e-01
5.826262626262626798e-08,2.114728915875599968e-01
5.869696969696970460e-08,2.056811057003209708e-01
5.913131313131314123e-08,2.000806093976580935e-01
5.956565656565657124e-08,1.946639960856084706e-01
6.000000000000000787e-08,1.894241884436325962e-01
